dc_id,provider_name,region,country_code,pue,provider_renewable_pct,cooling_type,notes,source_url,confidence,data_type,data_collected_date
deepgreen-uk-exmouth,Deep Green,Exmouth (UK),UK,1.005,100,Immersion (Digital Boiler),Exmouth Leisure Centre. Achieves PUE 1.005 by donating 96% of heat to pool.,https://dcsawards.com/frontend/assets/uploads/1689850853-DCS%20Awards%202023%20Winners.pdf,1.0,Official Case Study,2026-01-31
gcp-us-west1,Google Cloud,us-west1 (Oregon),US,1.06,100,Evaporative,The Dalles (2nd facility). Tied for best US efficiency.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-or1-a,Google Cloud,"us-or1 (Oregon, Facility 2)",US,1.06,100,Evaporative,"The Dalles, Oregon (2nd facility). Tied for best US efficiency.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-east5,Google Cloud,us-east5 (Ohio),US,1.06,100,Adiabatic,Columbus / New Albany. One of the newest and most efficient.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-oh1,Google Cloud,us-oh1 (Ohio),US,1.07,100,Adiabatic,"New Albany, Ohio.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-au-sy1,Google Cloud,au-sy1 (Sydney),AU,1.07,100,Adiabatic,"Sydney, Australia.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-europe-west3,Google Cloud,europe-west3 (Denmark),DK,1.07,100,Free Cooling,Fredericia campus. One of the best PUEs globally.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-central1,Google Cloud,us-central1 (Iowa),US,1.07,100,Adiabatic,Council Bluffs (2nd facility). Highly optimized.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-ia1-b,Google Cloud,"us-ia1 (Iowa, Facility 2)",US,1.07,100,Adiabatic,"Council Bluffs, Iowa (2nd facility).",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-east4,Google Cloud,us-east4 (Virginia),US,1.08,100,Adiabatic,Loudoun County (2nd facility). Better than AWS/Azure in same region.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-europe-west4,Google Cloud,europe-west4 (Netherlands),NL,1.08,100,Adiabatic,Eemshaven campus. Excellent efficiency.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-au-mel1,Google Cloud,au-mel1 (Melbourne),AU,1.08,100,Adiabatic,"Melbourne, Australia.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-va1-b,Google Cloud,"us-va1 (Virginia, Facility B)",US,1.08,100,Adiabatic,"Loudoun County, Virginia (2nd facility).",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-europe-west2,Google Cloud,europe-west2 (Ireland),IE,1.08,100,Air Cooling,Dublin campus. Consistently efficient (1.08).,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-europe-west1,Google Cloud,europe-west1 (Belgium),BE,1.08,100,Evaporative,St. Ghislain campus. Highly efficient.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
aws-eu-south-2,AWS,eu-south-2 (Spain),ES,1.09,100,Direct Evaporative,New region with highly efficient design (Aragon).,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
gcp-us-va1-a,Google Cloud,"us-va1 (Virginia, Facility A)",US,1.09,100,Adiabatic,"Loudoun County, Virginia (1st facility).",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-nv1,Google Cloud,us-nv1 (Nevada),US,1.09,100,Adiabatic,"Henderson, Nevada.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-ne1,Google Cloud,us-ne1 (Nebraska),US,1.09,100,Adiabatic,"Papillion, Nebraska.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-southamerica-west1,Google Cloud,southamerica-west1 (Chile),CL,1.09,100,Adiabatic,Quilicura campus. Very efficient for the region.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-ga1,Google Cloud,us-ga1 (Georgia),US,1.09,100,Adiabatic,"Douglas County, Georgia.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-west4,Google Cloud,us-west4 (Nevada),US,1.09,100,Adiabatic,Henderson. Very efficient for desert climate.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-global,Google Cloud,Global Average,GLOBAL,1.09,100,AI Optimized,Lowest global average among hyperscalers (Official 2024).,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
aws-eu-north-1,AWS,eu-north-1 (Stockholm),SE,1.1,100,Free Cooling (Air),Benefits from cold nordic climate.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
gcp-us-al1,Google Cloud,us-al1 (Alabama),US,1.1,100,Adiabatic,"Jackson County, Alabama.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-east1,Google Cloud,us-east1 (South Carolina),US,1.1,100,Chiller,Berkeley County. Consistent performance.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-tx1,Google Cloud,us-tx1 (Texas),US,1.1,100,Adiabatic,"Midlothian, Texas.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-tn1,Google Cloud,us-tn1 (Tennessee),US,1.1,100,Adiabatic,"Montgomery County, Tennessee.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-us-south1,Google Cloud,us-south1 (Texas),US,1.1,100,Adiabatic,Midlothian. Excellent efficiency for Texas heat (Azure is 1.28).,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-europe-north1,Google Cloud,europe-north1 (Finland),FI,1.1,100,Seawater Cooling,Hamina campus. Slight increase from previous years (was 1.09).,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
aws-eu-west-1,AWS,eu-west-1 (Ireland),IE,1.11,100,Direct Evaporative,Major hub. Efficiency slightly lower than best-case due to scale.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
gcp-us-ok1,Google Cloud,us-ok1 (Oklahoma),US,1.11,100,Adiabatic,"Mayes County, Oklahoma.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
azure-wyoming,Microsoft Azure,wyoming (Wyoming),US,1.12,100,Free Cooling,Wyoming region. Efficient due to cool climate.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
aws-us-west-2,AWS,us-west-2 (Oregon),US,1.12,100,Evaporative Cooling,Efficient region in Pacific NW.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
gcp-us-nc1,Google Cloud,us-nc1 (North Carolina),US,1.13,100,Air Cooling,"Lenoir, North Carolina.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
azure-arizona,Microsoft Azure,arizona (Arizona),US,1.13,100,Evaporative,Arizona region.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
aws-us-east-2,AWS,us-east-2 (Ohio),US,1.13,100,Evaporative,Modern design standard for US regions.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
gcp-asia-east1,Google Cloud,asia-east1 (Taiwan),TW,1.13,100,Thermal Energy Storage,Changhua County. Uses thermal storage to manage cooling.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
gcp-asia-southeast1,Google Cloud,asia-southeast1 (Singapore),SG,1.13,100,Recycled Water / Chiller,"1st Facility. Excellent for tropics (compare to AWS 1.32, Azure 1.30).",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
azure-westeurope,Microsoft Azure,westeurope (Netherlands),NL,1.14,100,Adiabatic Air,Efficient region. WUE is 0.04 L/kWh.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
azure-eastus,Microsoft Azure,eastus (Virginia),US,1.14,100,Adiabatic,Official Virginia PUE. Better than AWS Virginia (1.15).,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
aws-us-east-1,AWS,us-east-1 (N. Virginia),US,1.15,100,Central Chiller Plant,Largest AWS region globally.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
aws-global,AWS,Global Average,GLOBAL,1.15,100,Mixed,Global average PUE 2024.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
gcp-asia-southeast1-b,Google Cloud,asia-southeast1 (Singapore 2),SG,1.15,100,Multi-story Chiller,2nd Facility. Slightly higher PUE due to vertical density.,Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
aws-ap-southeast-2,AWS,ap-southeast-2 (Sydney),AU,1.15,100,Chiller,"Sydney, Australia. No PUE data available; using regional average.",aws-wue-pue.csv,0.85,Official Report 2024,2026-01-31
azure-centralus,Microsoft Azure,centralus (Iowa),US,1.16,100,Adiabatic,Official Iowa PUE. WUE is low (0.10).,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
azure-washington,Microsoft Azure,washington (Washington),US,1.16,100,Evaporative,Washington state region.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
azure-sweden-central,Microsoft Azure,swedencentral (Sweden),SE,1.16,100,Free Cooling,Nordic region. PUE is good but surprisingly higher than AWS Stockholm (1.10).,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
azure-iowa,Microsoft Azure,iowa (Iowa),US,1.16,100,Adiabatic,Iowa region.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
gcp-us-nv2,Google Cloud,"us-nv2 (Nevada, Facility 2)",US,1.16,100,Adiabatic,"Storey County, Nevada.",Google 2025 Environmental Report,1.0,Official Report 2024,2026-01-31
azure-global,Microsoft Azure,Global Average,GLOBAL,1.16,100,Mixed,Official Global PUE. WUE is 0.30 L/kWh.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
azure-westus2,Microsoft Azure,westus2 (Washington),US,1.16,100,Evaporative,Official Washington state PUE. Higher water usage (0.7 L/kWh).,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
aws-ca-west-1,AWS,ca-west-1 (Canada West),CA,1.17,100,Air Cooling,Western Canada region.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
aws-sa-east-1,AWS,sa-east-1 (Sao Paulo),BR,1.17,100,Water Cooled,South American hub.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
aws-us-west-1,AWS,us-west-1 (Northern California),US,1.18,100,Evaporative,US West (N. California).,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
azure-northeurope,Microsoft Azure,northeurope (Ireland),IE,1.18,100,Adiabatic Air,Uses free cooling but PUE is higher than AWS (1.11). WUE is very low (0.02).,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
aws-ca-central-1,AWS,ca-central-1 (Canada Central),CA,1.19,100,Free Cooling,Montreal area data centers.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
azure-poland-central,Microsoft Azure,polandcentral (Poland),PL,1.19,100,Chiller,New region. WUE is relatively high (0.44 L/kWh).,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
aws-af-south-1,AWS,af-south-1 (Cape Town),ZA,1.24,100,Chiller,African continent hub.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
azure-illinois,Microsoft Azure,illinois (Illinois),US,1.25,100,Traditional Chiller,Illinois region.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
aws-cn-north-1,AWS,cn-north-1 (Ningxia),CN,1.25,100,Chiller,China Ningxia region.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
aws-me-central-1,AWS,me-central-1 (UAE),AE,1.27,100,Chiller,Middle East region.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
aws-ap-northeast-1,AWS,ap-northeast-1 (Tokyo),JP,1.27,100,Traditional Chiller,Higher PUE due to dense urban constraints.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
azure-southcentralus,Microsoft Azure,southcentralus (Texas),US,1.28,100,Chiller/Mechanical,High PUE due to Texas heat. One of the least efficient US regions.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
azure-texas,Microsoft Azure,texas (Texas),US,1.28,100,Chiller,Texas region. High PUE due to heat.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
azure-southeastasia,Microsoft Azure,southeastasia (Singapore),SG,1.3,100,Recycled Water Cooling,Tropical climate. Uses reclaimed NEWater for cooling.,https://datacenters.microsoft.com/sustainability/efficiency/,1.0,Official Website,2026-01-31
aws-ap-southeast-1,AWS,ap-southeast-1 (Singapore),SG,1.32,100,Liquid/Chiller Hybrid,Tropical climate significantly impacts cooling efficiency.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
aws-me-south-1,AWS,me-south-1 (Bahrain),BH,1.33,100,Chiller,Middle East Bahrain region.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
aws-eu-central-1,AWS,eu-central-1 (Frankfurt),DE,1.35,100,Traditional Chiller,Older infrastructure affects efficiency (Higher PUE).,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
aws-ap-south-1,AWS,ap-south-1 (Mumbai),IN,1.42,100,Chiller,High PUE due to hot climate.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
aws-ap-south-2,AWS,ap-south-2 (Hyderabad),IN,1.46,100,Chiller,Asia-Pacific Hyderabad. Very high PUE due to hot climate.,aws-wue-pue.csv,1.0,Official Report 2024,2026-01-31
