device_id,device_name,device_type,manufacturer,cpu_model,cpu_tdp_watts,cpu_cores,cpu_architecture,gpu_model,gpu_tdp_watts,gpu_compute_units,gpu_tflops,npu_model,npu_tdp_watts,npu_tops,has_npu,inference_cpu_watts,inference_gpu_watts,inference_npu_watts,system_idle_watts,system_tdp_watts,memory_gb,memory_bandwidth_gbps,year_released,primary_inference_target,source_url,confidence,notes,data_collected_date
smart-speaker-echo,Amazon Echo (4th Gen),Smart Speaker,Amazon,Amazon AZ2 Neural Edge,2.5,4,ARM Cortex custom,None,0.0,0,0.0,AZ2 Neural Edge Processor,1.0,1.0,True,2.0,0.0,0.8,2.0,4.0,1,8.5,2023,npu,https://www.amazon.com/echo,0.8,Procesamiento local limitado. Mayoría en cloud.,2026-01-28
smart-speaker-homepod,Apple HomePod (2nd Gen),Smart Speaker,Apple,Apple S7,3.0,2,ARM Apple Silicon,Apple S7 GPU,1.0,2,0.1,Apple Neural Engine (limited),1.0,0.6,True,2.5,0.8,0.6,2.5,5.0,1,8.5,2023,npu,https://www.apple.com/homepod/specs/,0.8,Siri on-device para comandos básicos.,2026-01-28
edge-coral-tpu,Google Coral Dev Board,Edge Device,Google,NXP i.MX 8M (Cortex-A53),3.0,4,ARM Cortex-A53,Vivante GC7000Lite,1.0,4,0.05,Google Edge TPU,2.0,4.0,True,2.0,0.5,1.5,2.0,6.0,4,12.8,2019,npu,https://coral.ai/products/dev-board/,0.92,Edge TPU para modelos TFLite cuantizados. 2 TOPS/W eficiencia.,2026-01-28
phone-budget-average,Smartphone Budget Promedio,Smartphone,Generic,Snapdragon 6 Gen 1,4.0,8,ARM Cortex-A78 + A55,Adreno 710,3.5,4,0.8,Hexagon (limited),1.5,8.0,True,2.5,2.0,1.0,0.3,6.0,6,25.6,2023,cpu,https://www.qualcomm.com/snapdragon-6-gen-1,0.75,"Promedio gama media. NPU limitado, inferencia típicamente en CPU.",2026-01-28
phone-pixel-8-pro,Google Pixel 8 Pro,Smartphone,Google,Google Tensor G3 (9-core),5.5,9,ARM Cortex-X3 + A715 + A510,Mali-G715 MC10,7.0,10,2.1,Google Tensor TPU,2.5,30.0,True,3.0,4.5,1.8,0.4,7.5,12,44.0,2023,npu,https://store.google.com/product/pixel_8_pro_specs,0.88,Tensor G3 optimizado para Gemini Nano on-device.,2026-01-28
phone-iphone-15-pro,iPhone 15 Pro Max,Smartphone,Apple,Apple A17 Pro (6-core),6.0,6,ARM Cortex custom,Apple A17 Pro GPU (6-core),8.0,6,2.15,Apple Neural Engine 16-core,2.0,35.0,True,3.5,5.0,1.5,0.5,8.5,8,51.2,2023,npu,https://www.apple.com/iphone-15-pro/specs/,0.88,A17 Pro optimizado para Core ML. NPU preferido para inferencia.,2026-01-28
phone-samsung-s24-ultra,Samsung Galaxy S24 Ultra,Smartphone,Samsung,Snapdragon 8 Gen 3 (8-core),7.0,8,ARM Cortex-X4 + A720 + A520,Adreno 750,9.0,6,3.8,Hexagon NPU,3.0,45.0,True,4.0,6.0,2.0,0.6,10.0,12,51.2,2024,npu,https://www.qualcomm.com/snapdragon-8-gen-3,0.85,Snapdragon 8 Gen 3 con Hexagon NPU optimizado para LLMs on-device.,2026-01-28
edge-raspberry-pi-5,Raspberry Pi 5,Edge Device,Raspberry Pi Foundation,Broadcom BCM2712 (Cortex-A76),8.0,4,ARM Cortex-A76,VideoCore VII,4.0,12,0.1,None (external via HAT),0.0,0.0,False,6.0,3.0,0.0,3.0,12.0,8,34.0,2023,cpu,https://www.raspberrypi.com/products/raspberry-pi-5/,0.92,Edge inference típicamente en CPU. Puede añadir Coral TPU.,2026-01-28
tablet-android-average,Tablet Android Promedio,Tablet,Generic,Snapdragon 870,8.0,8,ARM Cortex-A77 + A55,Adreno 650,7.0,4,1.5,Hexagon 698,2.0,15.0,True,5.0,5.0,1.5,1.0,15.0,8,34.1,2023,npu,https://www.qualcomm.com/snapdragon-870,0.7,Promedio tablets Android gama media-alta.,2026-01-28
tablet-ipad-pro-m4,iPad Pro M4,Tablet,Apple,Apple M4 (10-core),10.0,10,ARM Apple Silicon,Apple M4 GPU (10-core),15.0,10,4.3,Apple Neural Engine 16-core,4.0,38.0,True,7.0,10.0,3.0,1.5,22.0,16,120.0,2024,npu,https://www.apple.com/ipad-pro/specs/,0.92,M4 con 38 TOPS Neural Engine. Muy eficiente.,2026-01-28
laptop-macbook-air-m3,MacBook Air M3,Laptop,Apple,Apple M3 (8-core),12.0,8,ARM Apple Silicon,Apple M3 GPU (10-core),15.0,10,4.1,Apple Neural Engine 16-core,5.0,18.0,True,8.0,12.0,4.0,3.0,24.0,16,100.0,2024,npu,https://www.apple.com/macbook-air-m3/specs/,0.92,"M3 fanless. Neural Engine para Core ML, GPU para Metal.",2026-01-28
laptop-thinkpad-x1-carbon,Lenovo ThinkPad X1 Carbon Gen 12,Laptop,Lenovo,Intel Core Ultra 7 165U,15.0,12,Intel Meteor Lake (x86-64),Intel Arc Graphics (integrated),12.0,128,3.6,Intel AI Boost NPU,4.0,10.0,True,12.0,10.0,3.0,5.0,28.0,32,76.8,2024,npu,https://www.lenovo.com/thinkpad-x1-carbon,0.88,Ultrabook empresarial. NPU para Copilot+ PC features.,2026-01-28
laptop-budget-average,Laptop Budget Promedio,Laptop,Generic,Intel Core i5-1335U,15.0,10,Intel Raptor Lake (x86-64),Intel Iris Xe,10.0,80,1.8,None,0.0,0.0,False,12.0,8.0,0.0,6.0,45.0,8,51.2,2023,cpu,https://ark.intel.com/content/www/us/en/ark.html,0.7,"Promedio laptops gama baja. Sin NPU, inferencia en CPU.",2026-01-28
edge-nvidia-jetson-orin,NVIDIA Jetson AGX Orin,Edge Device,NVIDIA,ARM Cortex-A78AE (12-core),15.0,12,ARM Cortex-A78AE,NVIDIA Ampere (2048 CUDA cores),40.0,2048,5.3,2x NVDLA,10.0,275.0,True,10.0,30.0,8.0,15.0,60.0,64,204.8,2022,gpu,https://www.nvidia.com/en-us/autonomous-machines/embedded-systems/jetson-orin/,0.95,"275 TOPS AI. DLA para inferencia eficiente, GPU para flexibilidad.",2026-01-28
laptop-macbook-pro-m3-max,MacBook Pro M3 Max,Laptop,Apple,Apple M3 Max (16-core),40.0,16,ARM Apple Silicon,Apple M3 Max GPU (40-core),60.0,40,14.2,Apple Neural Engine 16-core,8.0,18.0,True,25.0,45.0,6.0,8.0,92.0,64,400.0,2023,gpu,https://www.apple.com/macbook-pro/specs/,0.92,M3 Max: GPU potente para LLMs locales grandes vía mlx.,2026-01-28
desktop-office-average,Desktop Oficina Promedio,Desktop,Generic,Intel Core i5-13400,65.0,10,Intel Raptor Lake (x86-64),Intel UHD 730 (integrated),15.0,24,0.5,None,0.0,0.0,False,45.0,12.0,0.0,35.0,120.0,16,51.2,2023,cpu,https://ark.intel.com/content/www/us/en/ark.html,0.75,"PC oficina típico. Sin GPU dedicada, inferencia en CPU.",2026-01-28
laptop-dell-xps-15,Dell XPS 15 (2024),Laptop,Dell,Intel Core Ultra 9 185H,45.0,16,Intel Meteor Lake (x86-64),NVIDIA RTX 4070 Mobile,115.0,4608,23.0,Intel AI Boost NPU,5.0,10.0,True,35.0,85.0,4.0,12.0,157.0,32,89.6,2024,gpu,https://www.dell.com/xps-15,0.88,RTX 4070 para CUDA/TensorRT. NPU para modelos pequeños.,2026-01-28
laptop-gaming-rtx4090,Laptop Gaming RTX 4090,Laptop,Various,Intel Core i9-14900HX,55.0,24,Intel Raptor Lake (x86-64),NVIDIA RTX 4090 Mobile,175.0,9728,56.0,None,0.0,0.0,False,40.0,150.0,0.0,25.0,230.0,64,89.6,2024,gpu,https://www.nvidia.com/geforce/laptops/,0.85,RTX 4090 Mobile. Alto consumo pero máximo rendimiento CUDA.,2026-01-28
desktop-mac-studio-m2-ultra,Mac Studio M2 Ultra,Desktop,Apple,Apple M2 Ultra (24-core),80.0,24,ARM Apple Silicon,Apple M2 Ultra GPU (76-core),150.0,76,27.2,Apple Neural Engine 32-core,25.0,31.6,True,50.0,120.0,18.0,30.0,370.0,192,800.0,2023,gpu,https://www.apple.com/mac-studio/specs/,0.92,M2 Ultra workstation. GPU preferido para LLMs grandes vía mlx.,2026-01-28
desktop-gaming-rtx4090,Desktop Gaming RTX 4090,Desktop,Custom,AMD Ryzen 9 7950X,170.0,16,AMD Zen 4 (x86-64),NVIDIA RTX 4090 (24GB),450.0,16384,82.6,None,0.0,0.0,False,85.0,350.0,0.0,65.0,620.0,64,76.8,2023,gpu,https://www.nvidia.com/geforce/rtx-4090/,0.9,"RTX 4090 desktop. 82.6 TFLOPS FP32, 24GB VRAM para LLMs.",2026-01-28
